system,sensor
SYS_1,DESF_TA__J1_IA
SYS_1,DESF_TA__J1_IB
SYS_1,DESF_TA__J1_IC
SYS_1,DESF_TA__J1_I_AVG
SYS_1,DESF_TA__KVA_A
SYS_1,DESF_TA__KVA_B
SYS_1,DESF_TA__KVA_C
SYS_1,DESF_TA__KVA_TOT
SYS_1,DESF_TA__KW_A
SYS_1,DESF_TA__KW_B
SYS_1,DESF_TA__KW_C
SYS_1,DESF_TA__KW_TOT
SYS_2,DESF_TA__KVAR_A
SYS_2,DESF_TA__KVAR_B
SYS_2,DESF_TA__KVAR_C
SYS_2,DESF_TA__KVAR_TOT
SYS_3,DESF_TA__PF
SYS_3,DESF_TA__PF_A
SYS_3,DESF_TA__PF_B
SYS_3,DESF_TA__PF_C
SYS_4,DESF_TA__J2_VAB
SYS_4,DESF_TA__J2_VAN
SYS_4,DESF_TA__J2_VBC
SYS_4,DESF_TA__J2_VBN
SYS_4,DESF_TA__J2_VCA
SYS_4,DESF_TA__J2_VCN
SYS_4,DESF_TA__J2_V_AVG_LL
SYS_4,DESF_TA__J2_V_AVG_LN
SYS_5,DESF_TA__RTD_1
SYS_5,DESF_TA__RTD_3
SYS_5,DESF_TA__RTD_5
SYS_5,DESF_TA__RTD_6
SYS_5,DESF_TA__RTD_7
SYS_5,DESF_TA__RTD_8
SYS_5,TT5449012H
ISOLATED,VT5449017H
ISOLATED,DESF_TA__RTD_2
ISOLATED,DESF_TA__RTD_4
ISOLATED,VT5449013H
ISOLATED,VT5449017A
ISOLATED,VT5449016H
ISOLATED,VT5449011H
ISOLATED,VT5449012H
ISOLATED,DESF_TA__MWH_DEL
ISOLATED,VT5449012A
ISOLATED,TT5449017H
ISOLATED,VT5449018H
ISOLATED,DESF_TA__FREC
